year,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Access to electricity (% of population),Urban population growth (annual %),GDP growth (annual %),GDP per capita growth (annual %),GDP per capita (constant 2015 US$),GDP (constant 2015 US$),Energy use (kg of oil equivalent per capita)
1990,785.5547,100,0.234964714,0.733755484,0.433081138,30876.37063,1.7676E+12,3597.051621
1991,797.8067,100,0.273408736,-1.103121612,-1.408485754,30441.48135,1.7481E+12,3707.951971
1992,774.4728,100,0.347213793,0.401082056,0.129933024,30481.03489,1.75511E+12,3684.724535
1993,752.1212,100,0.316469262,2.489830962,2.244410577,31165.15446,1.79881E+12,3713.185819
1994,743.8083,100,0.332530132,3.846009131,3.581967474,32281.48015,1.86799E+12,3732.521114
1995,740.196,100,0.341153614,2.531670013,2.260783598,33011.29456,1.91528E+12,3728.963152
1996,760.3263,100,0.331173754,2.581993917,2.321125356,33777.52809,1.96474E+12,3879.822786
1997,736.7815,100,0.332766255,4.924648319,4.654759103,35349.79065,2.06149E+12,3760.712365
1998,727.5412,100,0.367838511,3.40265821,3.10177518,36446.26169,2.13164E+12,3787.108452
1999,701.0294,100,0.408505665,3.058323259,2.715292907,37435.88444,2.19683E+12,3784.074088
2000,700.1192,100,0.433615661,4.341634179,3.969485835,38921.89657,2.29221E+12,3785.753126
2001,709.7096,100,0.512040255,2.572780386,2.178658954,39769.87196,2.35118E+12,3784.928174
2002,689.0211,100,0.798501015,1.79566077,1.365632869,40312.9824,2.3934E+12,3685.869487
2003,698.2169,100,0.834359753,3.152346538,2.673143353,41390.60621,2.46885E+12,3731.609718
2004,691.9153,100,0.933797334,2.457904411,1.876632342,42167.35571,2.52953E+12,3694.478595
2005,681.2129,100,1.045133677,2.732660761,2.029702754,43023.22769,2.59865E+12,3686.359905
2006,673.9747,100,1.089795475,2.380694025,1.630905119,43724.89572,2.66052E+12,3598.810406
2007,658.8605,100,1.127189955,2.62488002,1.828877977,44524.57071,2.73036E+12,3441.640219
2008,636.5795,100,1.131869196,-0.248797298,-1.030790497,44065.61566,2.72356E+12,3361.980517
2009,582.5419,100,1.095105268,-4.62055372,-5.339273541,41712.8319,2.59772E+12,3145.585662
2010,594.2596,100,1.117771085,2.233315126,1.435052608,42311.43299,2.65573E+12,3230.615984
2011,551.5783,100,1.110599171,1.138362347,0.351039904,42459.963,2.68597E+12,2972.153065
2012,573.2484,100,1.02214552,1.508998374,0.805600758,42802.02078,2.7265E+12,3042.859871
2013,558.1893,100,0.993032273,1.799921494,1.120404196,43281.57642,2.77557E+12,2987.700589
2014,519.2542,100,1.05628515,3.194637313,2.437437655,44336.53786,2.86424E+12,2777.310987
2015,504.4467,100,1.108747983,2.222888449,1.416108051,44964.39114,2.92791E+12,2764.516671
2016,484.2036,100,1.072051621,1.921710078,1.152191112,45482.46686,2.98418E+12,..
2017,470.143,100,0.988958892,2.656504893,1.961446501,46374.58112,3.06345E+12,..
2018,463.3835,100,0.912161082,1.405190266,0.792604469,46742.14812,3.1065E+12,..
2019,446.2817,100,0.868230887,1.624475159,1.052793908,47234.24661,3.15696E+12,..
2020,407.3352,100,0.665362493,-10.29691887,-10.62441602,42215.88375,2.83189E+12,..
2021,425.1052,100,0.214393681,8.575950905,8.6649515,45873.8696,3.07476E+12,..
2022,425.9522,100,1.426350083,4.839085147,3.6564608,47551.22966,3.22355E+12,..