Second Tier Authority,Calendar Year,Sector,Emissions
Wales Total,2010.0,Domestic Total,"7,864.3"
Wales Total,2011.0,Domestic Total,"6,809.8"
Wales Total,2012.0,Domestic Total,"7,218.3"
Wales Total,2013.0,Domestic Total,"7,073.2"
Wales Total,2014.0,Domestic Total,"6,021.3"
Wales Total,2015.0,Domestic Total,"5,830.8"
Wales Total,2016.0,Domestic Total,"5,509.4"
Wales Total,2017.0,Domestic Total,"5,243.8"
Wales Total,2018.0,Domestic Total,"5,195.1"
Wales Total,2019.0,Domestic Total,"5,003.9"
Wales Total,2020.0,Domestic Total,"4,868.8"
Wales Total,2021.0,Domestic Total,"4,879.9"
Wales Total,2022.0,Domestic Total,"4,297.1"
Scotland Total,2005.0,Domestic Total,"14,759.8"
Scotland Total,2006.0,Domestic Total,"14,767.0"
Scotland Total,2007.0,Domestic Total,"14,395.2"
Scotland Total,2008.0,Domestic Total,"14,379.8"
Scotland Total,2009.0,Domestic Total,"13,090.3"
Scotland Total,2010.0,Domestic Total,"13,960.1"
Scotland Total,2011.0,Domestic Total,"12,260.6"
Scotland Total,2012.0,Domestic Total,"13,086.3"
Scotland Total,2013.0,Domestic Total,"12,617.9"
Scotland Total,2014.0,Domestic Total,"10,725.4"
Scotland Total,2015.0,Domestic Total,"10,452.7"
Scotland Total,2016.0,Domestic Total,"9,512.0"
Scotland Total,2017.0,Domestic Total,"9,203.8"
Scotland Total,2018.0,Domestic Total,"8,994.7"
Scotland Total,2019.0,Domestic Total,"8,812.0"
Scotland Total,2020.0,Domestic Total,"8,342.2"
Scotland Total,2021.0,Domestic Total,"8,584.6"
Scotland Total,2022.0,Domestic Total,"7,367.2"
Northern Ireland Total,2005.0,Domestic Total,"5,184.5"
Northern Ireland Total,2006.0,Domestic Total,"5,371.3"
Northern Ireland Total,2007.0,Domestic Total,"5,115.7"
Northern Ireland Total,2008.0,Domestic Total,"5,315.0"
Northern Ireland Total,2009.0,Domestic Total,"5,014.1"
Northern Ireland Total,2010.0,Domestic Total,"5,385.7"
Northern Ireland Total,2011.0,Domestic Total,"4,633.8"
Northern Ireland Total,2012.0,Domestic Total,"4,875.0"
Northern Ireland Total,2013.0,Domestic Total,"4,968.4"
Northern Ireland Total,2014.0,Domestic Total,"4,400.6"
Northern Ireland Total,2015.0,Domestic Total,"4,290.8"
Northern Ireland Total,2016.0,Domestic Total,"4,043.1"
Northern Ireland Total,2017.0,Domestic Total,"3,856.0"
Northern Ireland Total,2018.0,Domestic Total,"3,904.1"
Northern Ireland Total,2019.0,Domestic Total,"3,819.6"
Northern Ireland Total,2020.0,Domestic Total,"3,714.6"
Northern Ireland Total,2021.0,Domestic Total,"3,675.3"
Northern Ireland Total,2022.0,Domestic Total,"3,522.8"
,,Domestic Total,
Yorkshire and the Humber Total,2005.0,Transport Total,"11,881.9"
Yorkshire and the Humber Total,2006.0,Transport Total,"11,757.1"
Yorkshire and the Humber Total,2007.0,Transport Total,"11,844.9"
Yorkshire and the Humber Total,2008.0,Transport Total,"11,370.2"
Yorkshire and the Humber Total,2009.0,Transport Total,"10,947.5"
Yorkshire and the Humber Total,2010.0,Transport Total,"10,879.0"
Yorkshire and the Humber Total,2011.0,Transport Total,"10,755.2"
Yorkshire and the Humber Total,2012.0,Transport Total,"10,614.1"
Yorkshire and the Humber Total,2013.0,Transport Total,"10,621.2"
Yorkshire and the Humber Total,2014.0,Transport Total,"10,870.7"
Yorkshire and the Humber Total,2015.0,Transport Total,"11,157.5"
Yorkshire and the Humber Total,2016.0,Transport Total,"11,471.7"
Yorkshire and the Humber Total,2017.0,Transport Total,"11,488.7"
Yorkshire and the Humber Total,2018.0,Transport Total,"11,511.2"
Yorkshire and the Humber Total,2019.0,Transport Total,"11,501.9"
Yorkshire and the Humber Total,2020.0,Transport Total,"9,545.1"
Yorkshire and the Humber Total,2021.0,Transport Total,"9,916.7"
Yorkshire and the Humber Total,2022.0,Transport Total,"9,808.1"
London Total,2005.0,Transport Total,"10,718.8"
London Total,2006.0,Transport Total,"10,460.5"
London Total,2007.0,Transport Total,"10,260.1"
London Total,2008.0,Transport Total,"9,579.6"
London Total,2009.0,Transport Total,"9,325.1"
London Total,2010.0,Transport Total,"9,466.7"
London Total,2011.0,Transport Total,"9,206.5"
London Total,2012.0,Transport Total,"9,087.1"
London Total,2013.0,Transport Total,"9,004.1"
London Total,2014.0,Transport Total,"9,006.1"
London Total,2015.0,Transport Total,"9,113.4"
London Total,2016.0,Transport Total,"9,279.8"
London Total,2017.0,Transport Total,"9,242.5"
London Total,2018.0,Transport Total,"9,184.6"
London Total,2019.0,Transport Total,"8,904.0"
London Total,2020.0,Transport Total,"7,256.8"
London Total,2021.0,Transport Total,"7,757.6"
London Total,2022.0,Transport Total,"7,517.4"
England Total,2005.0,Transport Total,"1,17,147.2"
England Total,2006.0,Transport Total,"1,15,916.2"
England Total,2007.0,Transport Total,"1,16,413.8"
England Total,2008.0,Transport Total,"1,11,896.5"
England Total,2009.0,Transport Total,"1,08,475.7"
England Total,2010.0,Transport Total,"1,07,571.8"
England Total,2011.0,Transport Total,"1,05,923.0"
England Total,2012.0,Transport Total,"1,04,447.2"
England Total,2013.0,Transport Total,"1,03,652.8"
England Total,2014.0,Transport Total,"1,05,150.1"
England Total,2015.0,Transport Total,"1,07,616.4"
England Total,2016.0,Transport Total,"1,09,844.0"
England Total,2017.0,Transport Total,"1,10,013.5"
England Total,2018.0,Transport Total,"1,08,586.2"
England Total,2019.0,Transport Total,"1,07,228.0"
England Total,2020.0,Transport Total,"87,549.5"
England Total,2021.0,Transport Total,"94,657.5"
England Total,2022.0,Transport Total,"95,108.2"
Wales Total,2005.0,Transport Total,"6,938.4"
Wales Total,2006.0,Transport Total,"6,953.0"
Wales Total,2007.0,Transport Total,"7,060.0"
Wales Total,2008.0,Transport Total,"6,846.5"
Wales Total,2009.0,Transport Total,"6,615.1"
Wales Total,2010.0,Transport Total,"6,518.4"
Wales Total,2011.0,Transport Total,"6,401.7"
Wales Total,2012.0,Transport Total,"6,327.2"
Wales Total,2013.0,Transport Total,"6,284.7"
Wales Total,2014.0,Transport Total,"6,392.7"
Wales Total,2015.0,Transport Total,"6,537.9"
Wales Total,2016.0,Transport Total,"6,745.2"
Wales Total,2017.0,Transport Total,"6,683.9"
Wales Total,2018.0,Transport Total,"6,683.8"
Wales Total,2019.0,Transport Total,"6,585.9"
Wales Total,2020.0,Transport Total,"5,183.7"
Wales Total,2021.0,Transport Total,"5,795.0"
Wales Total,2022.0,Transport Total,"5,887.2"
Scotland Total,2005.0,Transport Total,"11,570.3"
Scotland Total,2006.0,Transport Total,"11,576.2"
Scotland Total,2007.0,Transport Total,"11,716.1"
Scotland Total,2008.0,Transport Total,"11,391.9"
Scotland Total,2009.0,Transport Total,"11,066.0"
Scotland Total,2010.0,Transport Total,"10,857.8"
Scotland Total,2011.0,Transport Total,"10,565.4"
Scotland Total,2012.0,Transport Total,"10,450.5"
Scotland Total,2013.0,Transport Total,"10,315.7"
Scotland Total,2014.0,Transport Total,"10,392.3"
Scotland Total,2015.0,Transport Total,"10,518.7"
Scotland Total,2016.0,Transport Total,"10,765.8"
Scotland Total,2017.0,Transport Total,"10,910.0"
Scotland Total,2018.0,Transport Total,"10,688.7"
Scotland Total,2019.0,Transport Total,"10,477.4"
Scotland Total,2020.0,Transport Total,"8,279.2"
Scotland Total,2021.0,Transport Total,"9,855.5"
Scotland Total,2022.0,Transport Total,"10,041.7"
Northern Ireland Total,2005.0,Transport Total,"4,582.0"
Northern Ireland Total,2006.0,Transport Total,"4,581.3"
Northern Ireland Total,2007.0,Transport Total,"4,630.1"
Northern Ireland Total,2008.0,Transport Total,"4,515.5"
Northern Ireland Total,2009.0,Transport Total,"4,448.5"
Northern Ireland Total,2010.0,Transport Total,"4,353.3"
Northern Ireland Total,2011.0,Transport Total,"4,227.5"
Northern Ireland Total,2012.0,Transport Total,"4,143.2"
Northern Ireland Total,2013.0,Transport Total,"4,067.3"
Northern Ireland Total,2014.0,Transport Total,"4,010.5"
Northern Ireland Total,2015.0,Transport Total,"3,976.0"
Northern Ireland Total,2016.0,Transport Total,"3,992.9"
Northern Ireland Total,2017.0,Transport Total,"3,994.3"
Northern Ireland Total,2018.0,Transport Total,"3,936.9"
Northern Ireland Total,2019.0,Transport Total,"3,851.8"
Northern Ireland Total,2020.0,Transport Total,"3,351.8"
Northern Ireland Total,2021.0,Transport Total,"3,705.5"
Northern Ireland Total,2022.0,Transport Total,"3,619.3"
,,Transport Total,
Yorkshire and the Humber Total,2005.0,Agriculture Total,"3,918.7"
Yorkshire and the Humber Total,2006.0,Agriculture Total,"3,858.6"
Yorkshire and the Humber Total,2007.0,Agriculture Total,"3,780.4"
Yorkshire and the Humber Total,2008.0,Agriculture Total,"3,763.8"
Yorkshire and the Humber Total,2009.0,Agriculture Total,"3,625.6"
Yorkshire and the Humber Total,2010.0,Agriculture Total,"3,719.9"
Yorkshire and the Humber Total,2011.0,Agriculture Total,"3,627.0"
Yorkshire and the Humber Total,2012.0,Agriculture Total,"3,702.3"
Yorkshire and the Humber Total,2013.0,Agriculture Total,"3,591.9"
Yorkshire and the Humber Total,2014.0,Agriculture Total,"3,645.8"
Yorkshire and the Humber Total,2015.0,Agriculture Total,"3,673.7"
Yorkshire and the Humber Total,2016.0,Agriculture Total,"3,583.9"
Yorkshire and the Humber Total,2017.0,Agriculture Total,"3,700.6"
Yorkshire and the Humber Total,2018.0,Agriculture Total,"3,621.3"
Yorkshire and the Humber Total,2019.0,Agriculture Total,"3,605.0"
Yorkshire and the Humber Total,2020.0,Agriculture Total,"3,469.6"
Yorkshire and the Humber Total,2021.0,Agriculture Total,"3,562.4"
Yorkshire and the Humber Total,2022.0,Agriculture Total,"3,442.2"
London Total,2005.0,Agriculture Total,78.8
London Total,2006.0,Agriculture Total,78.8
London Total,2007.0,Agriculture Total,72.9
London Total,2008.0,Agriculture Total,73.8
London Total,2009.0,Agriculture Total,66.1
London Total,2010.0,Agriculture Total,70.5
London Total,2011.0,Agriculture Total,64.5
London Total,2012.0,Agriculture Total,70.3
London Total,2013.0,Agriculture Total,77.0
London Total,2014.0,Agriculture Total,61.5
London Total,2015.0,Agriculture Total,62.9
London Total,2016.0,Agriculture Total,61.2
London Total,2017.0,Agriculture Total,62.3
London Total,2018.0,Agriculture Total,52.7
London Total,2019.0,Agriculture Total,51.0
London Total,2020.0,Agriculture Total,48.2
London Total,2021.0,Agriculture Total,54.3
London Total,2022.0,Agriculture Total,61.5
England Total,2005.0,Agriculture Total,"35,104.6"
England Total,2006.0,Agriculture Total,"34,585.8"
England Total,2007.0,Agriculture Total,"34,189.7"
England Total,2008.0,Agriculture Total,"34,441.4"
England Total,2009.0,Agriculture Total,"33,338.4"
England Total,2010.0,Agriculture Total,"33,449.0"
England Total,2011.0,Agriculture Total,"32,698.2"
England Total,2012.0,Agriculture Total,"33,107.7"
England Total,2013.0,Agriculture Total,"32,404.2"
England Total,2014.0,Agriculture Total,"32,853.2"
England Total,2015.0,Agriculture Total,"33,051.1"
England Total,2016.0,Agriculture Total,"32,298.6"
England Total,2017.0,Agriculture Total,"32,780.5"
England Total,2018.0,Agriculture Total,"32,278.0"
England Total,2019.0,Agriculture Total,"32,023.2"
England Total,2020.0,Agriculture Total,"31,154.2"
England Total,2021.0,Agriculture Total,"31,513.3"
England Total,2022.0,Agriculture Total,"30,609.2"
Wales Total,2005.0,Agriculture Total,"6,146.0"
Wales Total,2006.0,Agriculture Total,"6,021.8"
Wales Total,2007.0,Agriculture Total,"5,848.1"
Wales Total,2008.0,Agriculture Total,"5,697.8"
Wales Total,2009.0,Agriculture Total,"5,637.9"
Wales Total,2010.0,Agriculture Total,"5,705.2"
Wales Total,2011.0,Agriculture Total,"5,556.0"
Wales Total,2012.0,Agriculture Total,"5,742.1"
Wales Total,2013.0,Agriculture Total,"5,580.0"
Wales Total,2014.0,Agriculture Total,"5,903.4"
Wales Total,2015.0,Agriculture Total,"5,868.6"
Wales Total,2016.0,Agriculture Total,"5,620.0"
Wales Total,2017.0,Agriculture Total,"5,641.1"
Wales Total,2018.0,Agriculture Total,"5,490.2"
Wales Total,2019.0,Agriculture Total,"5,465.2"
Wales Total,2020.0,Agriculture Total,"5,361.4"
Wales Total,2021.0,Agriculture Total,"5,574.8"
Wales Total,2022.0,Agriculture Total,"5,457.0"
Scotland Total,2005.0,Agriculture Total,"8,649.6"
Scotland Total,2006.0,Agriculture Total,"8,449.3"
Scotland Total,2007.0,Agriculture Total,"8,532.7"
Scotland Total,2008.0,Agriculture Total,"8,377.6"
Scotland Total,2009.0,Agriculture Total,"8,352.7"
Scotland Total,2010.0,Agriculture Total,"8,301.3"
Scotland Total,2011.0,Agriculture Total,"8,007.5"
Scotland Total,2012.0,Agriculture Total,"8,189.5"
Scotland Total,2013.0,Agriculture Total,"7,845.5"
Scotland Total,2014.0,Agriculture Total,"8,039.3"
Scotland Total,2015.0,Agriculture Total,"8,033.5"
Scotland Total,2016.0,Agriculture Total,"7,978.3"
Scotland Total,2017.0,Agriculture Total,"7,882.9"
Scotland Total,2018.0,Agriculture Total,"7,742.7"
Scotland Total,2019.0,Agriculture Total,"7,717.5"
Scotland Total,2020.0,Agriculture Total,"7,702.6"
Scotland Total,2021.0,Agriculture Total,"7,836.5"
Scotland Total,2022.0,Agriculture Total,"7,636.4"
Northern Ireland Total,2005.0,Agriculture Total,"5,625.3"
Northern Ireland Total,2006.0,Agriculture Total,"5,534.8"
Northern Ireland Total,2007.0,Agriculture Total,"5,478.0"
Northern Ireland Total,2008.0,Agriculture Total,"5,375.3"
Northern Ireland Total,2009.0,Agriculture Total,"5,362.6"
Northern Ireland Total,2010.0,Agriculture Total,"5,395.4"
Northern Ireland Total,2011.0,Agriculture Total,"5,379.6"
Northern Ireland Total,2012.0,Agriculture Total,"5,535.2"
Northern Ireland Total,2013.0,Agriculture Total,"5,408.1"
Northern Ireland Total,2014.0,Agriculture Total,"5,495.5"
Northern Ireland Total,2015.0,Agriculture Total,"5,628.5"
Northern Ireland Total,2016.0,Agriculture Total,"5,727.9"
Northern Ireland Total,2017.0,Agriculture Total,"5,759.9"
Northern Ireland Total,2018.0,Agriculture Total,"5,719.7"
Northern Ireland Total,2019.0,Agriculture Total,"5,677.6"
Northern Ireland Total,2020.0,Agriculture Total,"5,798.5"
Northern Ireland Total,2021.0,Agriculture Total,"6,011.2"
Northern Ireland Total,2022.0,Agriculture Total,"5,878.9"
,,Agriculture Total,
Yorkshire and the Humber Total,2005.0,Per Capita Emissions (tCO2e),12.0
Yorkshire and the Humber Total,2006.0,Per Capita Emissions (tCO2e),11.7
Yorkshire and the Humber Total,2007.0,Per Capita Emissions (tCO2e),11.4
Yorkshire and the Humber Total,2008.0,Per Capita Emissions (tCO2e),10.9
Yorkshire and the Humber Total,2009.0,Per Capita Emissions (tCO2e),9.6
Yorkshire and the Humber Total,2010.0,Per Capita Emissions (tCO2e),10.2
Yorkshire and the Humber Total,2011.0,Per Capita Emissions (tCO2e),9.5
Yorkshire and the Humber Total,2012.0,Per Capita Emissions (tCO2e),9.4
Yorkshire and the Humber Total,2013.0,Per Capita Emissions (tCO2e),9.3
Yorkshire and the Humber Total,2014.0,Per Capita Emissions (tCO2e),8.5
Yorkshire and the Humber Total,2015.0,Per Capita Emissions (tCO2e),8.5
Yorkshire and the Humber Total,2016.0,Per Capita Emissions (tCO2e),7.9
Yorkshire and the Humber Total,2017.0,Per Capita Emissions (tCO2e),7.7
Yorkshire and the Humber Total,2018.0,Per Capita Emissions (tCO2e),7.7
Yorkshire and the Humber Total,2019.0,Per Capita Emissions (tCO2e),7.4
Yorkshire and the Humber Total,2020.0,Per Capita Emissions (tCO2e),6.7
Yorkshire and the Humber Total,2021.0,Per Capita Emissions (tCO2e),7.1
Yorkshire and the Humber Total,2022.0,Per Capita Emissions (tCO2e),6.4
London Total,2005.0,Per Capita Emissions (tCO2e),7.1
London Total,2006.0,Per Capita Emissions (tCO2e),7.1
London Total,2007.0,Per Capita Emissions (tCO2e),6.8
London Total,2008.0,Per Capita Emissions (tCO2e),6.7
London Total,2009.0,Per Capita Emissions (tCO2e),6.1
London Total,2010.0,Per Capita Emissions (tCO2e),6.3
London Total,2011.0,Per Capita Emissions (tCO2e),5.6
London Total,2012.0,Per Capita Emissions (tCO2e),5.8
London Total,2013.0,Per Capita Emissions (tCO2e),5.5
London Total,2014.0,Per Capita Emissions (tCO2e),4.9
London Total,2015.0,Per Capita Emissions (tCO2e),4.6
London Total,2016.0,Per Capita Emissions (tCO2e),4.2
London Total,2017.0,Per Capita Emissions (tCO2e),4.0
London Total,2018.0,Per Capita Emissions (tCO2e),3.9
London Total,2019.0,Per Capita Emissions (tCO2e),3.7
London Total,2020.0,Per Capita Emissions (tCO2e),3.2
London Total,2021.0,Per Capita Emissions (tCO2e),3.5
London Total,2022.0,Per Capita Emissions (tCO2e),3.2
England Total,2005.0,Per Capita Emissions (tCO2e),10.1
England Total,2006.0,Per Capita Emissions (tCO2e),9.9
England Total,2007.0,Per Capita Emissions (tCO2e),9.6
England Total,2008.0,Per Capita Emissions (tCO2e),9.2
England Total,2009.0,Per Capita Emissions (tCO2e),8.4
England Total,2010.0,Per Capita Emissions (tCO2e),8.5
England Total,2011.0,Per Capita Emissions (tCO2e),7.8
England Total,2012.0,Per Capita Emissions (tCO2e),8.0
England Total,2013.0,Per Capita Emissions (tCO2e),7.8
England Total,2014.0,Per Capita Emissions (tCO2e),7.1
England Total,2015.0,Per Capita Emissions (tCO2e),6.8
England Total,2016.0,Per Capita Emissions (tCO2e),6.3
England Total,2017.0,Per Capita Emissions (tCO2e),6.1
England Total,2018.0,Per Capita Emissions (tCO2e),6.0
England Total,2019.0,Per Capita Emissions (tCO2e),5.8
England Total,2020.0,Per Capita Emissions (tCO2e),5.2
England Total,2021.0,Per Capita Emissions (tCO2e),5.4
England Total,2022.0,Per Capita Emissions (tCO2e),5.1
Wales Total,2005.0,Per Capita Emissions (tCO2e),15.0
Wales Total,2006.0,Per Capita Emissions (tCO2e),14.9
Wales Total,2007.0,Per Capita Emissions (tCO2e),14.4
Wales Total,2008.0,Per Capita Emissions (tCO2e),13.7
Wales Total,2009.0,Per Capita Emissions (tCO2e),12.1
Wales Total,2010.0,Per Capita Emissions (tCO2e),13.0
Wales Total,2011.0,Per Capita Emissions (tCO2e),11.5
Wales Total,2012.0,Per Capita Emissions (tCO2e),11.3
Wales Total,2013.0,Per Capita Emissions (tCO2e),12.1
Wales Total,2014.0,Per Capita Emissions (tCO2e),11.6
Wales Total,2015.0,Per Capita Emissions (tCO2e),11.0
Wales Total,2016.0,Per Capita Emissions (tCO2e),10.2
Wales Total,2017.0,Per Capita Emissions (tCO2e),10.1
Wales Total,2018.0,Per Capita Emissions (tCO2e),9.7
Wales Total,2019.0,Per Capita Emissions (tCO2e),9.6
Wales Total,2020.0,Per Capita Emissions (tCO2e),8.8
Wales Total,2021.0,Per Capita Emissions (tCO2e),9.2
Wales Total,2022.0,Per Capita Emissions (tCO2e),8.6
Scotland Total,2005.0,Per Capita Emissions (tCO2e),12.2
Scotland Total,2006.0,Per Capita Emissions (tCO2e),12.0
Scotland Total,2007.0,Per Capita Emissions (tCO2e),11.7
Scotland Total,2008.0,Per Capita Emissions (tCO2e),11.3
Scotland Total,2009.0,Per Capita Emissions (tCO2e),10.4
Scotland Total,2010.0,Per Capita Emissions (tCO2e),10.6
Scotland Total,2011.0,Per Capita Emissions (tCO2e),9.8
Scotland Total,2012.0,Per Capita Emissions (tCO2e),9.9
Scotland Total,2013.0,Per Capita Emissions (tCO2e),9.5
Scotland Total,2014.0,Per Capita Emissions (tCO2e),8.7
Scotland Total,2015.0,Per Capita Emissions (tCO2e),8.7
Scotland Total,2016.0,Per Capita Emissions (tCO2e),8.1
Scotland Total,2017.0,Per Capita Emissions (tCO2e),8.0
Scotland Total,2018.0,Per Capita Emissions (tCO2e),7.9
Scotland Total,2019.0,Per Capita Emissions (tCO2e),7.7
Scotland Total,2020.0,Per Capita Emissions (tCO2e),6.9
Scotland Total,2021.0,Per Capita Emissions (tCO2e),7.3
Scotland Total,2022.0,Per Capita Emissions (tCO2e),7.1
Northern Ireland Total,2005.0,Per Capita Emissions (tCO2e),14.5
Northern Ireland Total,2006.0,Per Capita Emissions (tCO2e),14.6
Northern Ireland Total,2007.0,Per Capita Emissions (tCO2e),14.4
Northern Ireland Total,2008.0,Per Capita Emissions (tCO2e),14.0
Northern Ireland Total,2009.0,Per Capita Emissions (tCO2e),13.1
Northern Ireland Total,2010.0,Per Capita Emissions (tCO2e),13.2
Northern Ireland Total,2011.0,Per Capita Emissions (tCO2e),12.4
Northern Ireland Total,2012.0,Per Capita Emissions (tCO2e),12.5
Northern Ireland Total,2013.0,Per Capita Emissions (tCO2e),12.2
Northern Ireland Total,2014.0,Per Capita Emissions (tCO2e),11.6
Northern Ireland Total,2015.0,Per Capita Emissions (tCO2e),11.4
Northern Ireland Total,2016.0,Per Capita Emissions (tCO2e),11.0
Northern Ireland Total,2017.0,Per Capita Emissions (tCO2e),10.7
Northern Ireland Total,2018.0,Per Capita Emissions (tCO2e),10.6
Northern Ireland Total,2019.0,Per Capita Emissions (tCO2e),10.3
Northern Ireland Total,2020.0,Per Capita Emissions (tCO2e),9.8
Northern Ireland Total,2021.0,Per Capita Emissions (tCO2e),10.2
Northern Ireland Total,2022.0,Per Capita Emissions (tCO2e),9.8
,,Per Capita Emissions (tCO2e),
