year,median_price,transactions,price_growth
2001,90000,1245880,12.5
2002,110000,1351801,22.22
2003,130000,1235487,18.18
2004,150000,1231983,15.38
2005,157500,1061442,5
2006,166000,1326029,5.4
2007,175000,1272235,5.42
2008,170000,649475,-2.86
2009,168750,625159,-0.74
2010,182000,663121,7.85
2011,176000,660946,-3.3
2012,180000,668504,2.27
2013,185000,791602,2.78
2014,195000,919292,5.41
2015,208000,918207,6.67
2016,219950,922249,5.75
2017,228500,906826,3.89
2018,235000,875465,2.84
2019,239995,842846,2.13
2020,257500,752142,7.29
2021,276000,1085071,7.18
2022,290000,906623,5.07
2023,285200,702445,-1.66